wavelength (A),flux density (erg/cm2/s/A)
4218.8374,2.6396E-12
4221.5854,2.6483E-12
4224.334,2.4751E-12
4227.082,2.1646E-12
4229.8301,2.3455E-12
4232.5781,2.5870E-12
4235.3267,2.5420E-12
4238.0747,2.4486E-12
4240.8228,2.5090E-12
4243.5708,2.6037E-12
4246.3188,2.6093E-12
4249.0669,2.4691E-12
4251.8154,2.4153E-12
4254.5635,2.5147E-12
4257.3115,2.5174E-12
4260.0596,2.4538E-12
4262.8076,2.4944E-12
4265.5557,2.6192E-12
4268.3037,2.5839E-12
4271.0518,2.3453E-12
4273.7998,2.1952E-12
4276.5479,2.3241E-12
4279.2959,2.5269E-12
4282.0435,2.4520E-12
4284.7915,2.4017E-12
4287.5396,2.3288E-12
4290.2876,2.2166E-12
4293.0356,2.2541E-12
4295.7837,2.2569E-12
4298.5312,2.0672E-12
4301.2793,1.8256E-12
4304.0273,1.8099E-12
4306.7754,1.8115E-12
4309.5229,1.7305E-12
4312.271,1.8851E-12
4315.019,2.2454E-12
4317.7666,2.6005E-12
4320.5146,2.7444E-12
4323.2622,2.5359E-12
4326.0103,2.2151E-12
4328.7578,2.4216E-12
4331.5059,2.6668E-12
4334.2534,2.6981E-12
4337.0015,2.5498E-12
4339.749,2.2626E-12
4342.4971,2.0952E-12
4345.2446,2.4151E-12
4347.9922,2.6094E-12
4350.7402,2.6622E-12
4353.4878,2.4813E-12
4356.2354,2.6141E-12
4358.9834,2.6997E-12
4361.731,2.7641E-12
4364.4785,2.8172E-12
4367.2261,2.8030E-12
4369.9741,2.7097E-12
4372.7217,2.6530E-12
4375.4692,2.5550E-12
4378.2168,2.6124E-12
4380.9644,2.5943E-12
4383.7119,2.3091E-12
4386.4595,2.2564E-12
4389.207,2.4721E-12
4391.9546,2.5607E-12
4394.7021,2.6392E-12
4397.4497,2.6733E-12
4400.1973,2.6797E-12
4402.9448,2.5972E-12
4405.6924,2.4734E-12
4408.4395,2.5977E-12
4411.187,2.7278E-12
4413.9346,2.8394E-12
4416.6821,2.7066E-12
4419.4292,2.8195E-12
4422.1768,2.8970E-12
4424.9243,2.8232E-12
4427.6714,2.8367E-12
4430.4189,2.8629E-12
4433.1665,2.8305E-12
4435.9136,2.7492E-12
4438.6611,2.8595E-12
4441.4082,2.8847E-12
4444.1558,2.8706E-12
4446.9028,2.9148E-12
4449.6504,2.8913E-12
4452.3975,2.8287E-12
4455.1445,2.7252E-12
4457.8921,2.6320E-12
4460.6392,2.6587E-12
4463.3862,2.7076E-12
4466.1333,2.8229E-12
4468.8809,2.8380E-12
4471.6279,2.8562E-12
4474.375,2.9689E-12
4477.1221,3.0168E-12
4479.8691,2.9803E-12
4482.6162,2.8354E-12
4485.3633,2.9571E-12
4488.1104,2.9917E-12
4490.8574,2.9062E-12
4493.6045,2.9605E-12
4496.3516,2.9261E-12
